routeKey,class,TT_freeflow
-1015424648->1064476620#2,veh_passenger,607.0
-14924729#3->761486028#0,veh_passenger,102.0
1323097575#0->-838061037,veh_passenger,446.0
1118804250->450616334#0,veh_passenger,376.0
490474063#7->826496637,veh_passenger,207.0
509646057#1->33683458#1,truck_truck,420.0
1297720367->-39838657#2,veh_passenger,335.0
-401226926#0->40140141#8,bus_bus,424.0
24576913#1->401226926#0,veh_passenger,416.0
12262310#0-AddedOffRampEdge->39838751#1,veh_passenger,558.0
-147711065#0->47223733,veh_passenger,168.0
-1335304373#1->-654530820#1,bus_bus,743.0
47225638#3->1100626097,veh_passenger,188.0
-39838751#0->1292541108,veh_passenger,348.0
-178723097#1->-1068144849#2,veh_passenger,251.0
1255099064->-488788633#0,veh_passenger,660.0
-1068144845#3->178583148#0,veh_passenger,321.0
437445541#0->-240666072#2,veh_passenger,268.0
1068144849#2->39921673#0,veh_passenger,253.0
1332638391#1->478286980#1,veh_passenger,61.0
1214520078->-401226926#1,veh_passenger,400.0
413789558#1->83428923#0,veh_passenger,172.0
-39838657#0->39921025#2,veh_passenger,326.0
509647506->687878722#0,veh_passenger,482.0
-1068144845#4->-40035606#3,veh_passenger,344.0
-1323097580#1->147711065#0,veh_passenger,717.0
-413789558#1->-1067928307#2,veh_passenger,49.0
-687878722#0->-1297720376#0,veh_passenger,412.0
39920505#3->47267011#0,veh_passenger,406.0
1273251150#1->488788630#1,veh_passenger,637.0
40035904#1->39838691#7,veh_passenger,335.0
1326094888->413789557,veh_passenger,95.0
