vehID,routeKey,class,depart,arrival,travel_time
veh3332,147711065#0->39921025#1|n=17|h=6cf5920462,veh_passenger,329.0,3629.0,3300.0
bike4726,116837612->-116837548|n=3|h=efb2aa270c,bike_bicycle,3354.0,3630.0,276.0
truck425,13866211->475044040#3|n=43|h=ccd78383c3,truck_truck,415.0,3632.0,3217.0
veh7505,968332513#1->-1125986385#0|n=19|h=2207693196,veh_passenger,732.0,3633.0,2901.0
veh119,654297628->15420801#3|n=29|h=f210feab63,veh_passenger,13.0,3634.0,3621.0
veh11059,451728952#4->1234244925#0|n=13|h=53d78c7bde,veh_passenger,1078.0,3634.0,2556.0
bus359,-1131969257->39838882|n=39|h=9e53fda9cf,bus_bus,137.0,3635.0,3498.0
bus1722,-12247569->1335304373#1|n=36|h=9ee545c51d,bus_bus,1243.0,3635.0,2392.0
motorcycle515,40036009#1->475044040#1|n=17|h=7ce1de17ae,motorcycle_motorcycle,336.0,3637.0,3301.0
veh9634,-12247568#0->513087670|n=19|h=25b4584fe0,veh_passenger,939.0,3637.0,2698.0
veh33363,178702243#1->900399275|n=13|h=1589f670c7,veh_passenger,3248.0,3637.0,389.0
truck1,-1125986375#1->1214520076|n=14|h=2ab6a6b3f5,truck_truck,2.0,3638.0,3636.0
veh5118,1254633078#1->238219449|n=7|h=2121795ceb,veh_passenger,500.0,3639.0,3139.0
truck974,513082641#2->967985513#1|n=19|h=bef772da46,truck_truck,949.0,3642.0,2693.0
veh12723,40035904#2->-40035325#2|n=12|h=beb29d9abc,veh_passenger,1240.0,3642.0,2402.0
veh5005,475446753->826496637|n=24|h=2f136a4035,veh_passenger,1866.0,3643.0,1777.0
veh965,499566574#3->511187808#1|n=29|h=6f31ff5357,veh_passenger,95.0,3644.0,3549.0
veh9878,-10628442#2->1214520070|n=16|h=753c618e33,veh_passenger,963.0,3644.0,2681.0
veh1517,232920697->666886081|n=20|h=7bd1c1bb15,veh_passenger,149.0,3646.0,3497.0
veh2210,13909444#7->-1125986385#0|n=36|h=89eff18b04,veh_passenger,217.0,3646.0,3429.0
bus1853,-1237953493->-116783847|n=23|h=c96f8d89fb,bus_bus,697.0,3647.0,2950.0
veh32051,967985513#1->967985513#1|n=1|h=b6a9029363,veh_passenger,3120.0,3647.0,527.0
motorcycle885,50323229#13->40036009#2|n=9|h=f3a1a6e644,motorcycle_motorcycle,1827.0,3648.0,1821.0
veh14187,-401226926#1->1234244927#0|n=31|h=f66f4a1c2b,veh_passenger,1382.0,3649.0,2267.0
bus6001,1235501862->1335304374|n=15|h=8ace6bd0f3,bus_bus,2286.0,3649.0,1363.0
bus1758,1323097579#0->9704194#4|n=41|h=92d7f0408f,bus_bus,662.0,3652.0,2990.0
bike5075,-1303832510->-1303832510|n=1|h=78c7c0a5e1,bike_bicycle,3601.0,3652.0,51.0
veh6696,40138633#2->-8887999#2|n=45|h=eb4ab589a6,veh_passenger,653.0,3654.0,3001.0
veh10973,12247569->511404880#1|n=7|h=58fd8b7011,veh_passenger,2765.0,3654.0,889.0
veh648,1196008692#1->15420801#3|n=31|h=d98d0e5879,veh_passenger,65.0,3655.0,3590.0
veh6473,-474143552#3->1278784167#1|n=26|h=b6a8426369,veh_passenger,631.0,3656.0,3025.0
veh8440,15419906#0->449565665#2|n=26|h=37f00dde0d,veh_passenger,823.0,3656.0,2833.0
veh10455,1332638391#2->-33683458#1|n=29|h=0061939e88,veh_passenger,1019.0,3657.0,2638.0
veh17265,-654297636->-33683458#0|n=10|h=4f969d6aa6,veh_passenger,1682.0,3657.0,1975.0
veh5373,-451728952#4->1068434204|n=18|h=58ab21c727,veh_passenger,524.0,3658.0,3134.0
veh10081,-10628442#1->509524271|n=15|h=ced3374d1b,veh_passenger,982.0,3658.0,2676.0
veh12470,509646055->257421487#1|n=17|h=864cc1380d,veh_passenger,1215.0,3660.0,2445.0
veh30628,257421487#1->257421487#1|n=1|h=168e3e9c28,veh_passenger,2982.0,3662.0,680.0
truck820,1075505400#2->49224804#0|n=34|h=2e4cdfbdfe,truck_truck,799.0,3663.0,2864.0
veh3433,279209078->449565665#0|n=13|h=4ce488f106,veh_passenger,450.0,3665.0,3215.0
veh4352,521708587#1->14924729#2|n=30|h=97575960ef,veh_passenger,425.0,3666.0,3241.0
bus1755,-1226645411->511185049|n=26|h=83f19fffe9,bus_bus,661.0,3666.0,3005.0
veh5616,-474143552#0->511187823|n=22|h=4d72ad7a8f,veh_passenger,548.0,3668.0,3120.0
veh14881,39920550#8->654297629#0|n=24|h=37ef4690f1,veh_passenger,2007.0,3669.0,1662.0
motorcycle47,-39920593#5->-654297633|n=20|h=e5d00d4645,motorcycle_motorcycle,32.0,3670.0,3638.0
bus1355,-10748036->1067953239#1|n=28|h=73e69976d4,bus_bus,510.0,3670.0,3160.0
veh5467,-1068144846#2->10250021#3|n=23|h=fc9db809aa,veh_passenger,533.0,3673.0,3140.0
bus2513,1335304376#1->515126384|n=34|h=4e9fd85a6b,bus_bus,981.0,3673.0,2692.0
veh10929,39920550#8->515126385#4|n=34|h=cccc554359,veh_passenger,1078.0,3674.0,2596.0
bus613,39921025#3->-1211151635#1|n=47|h=00797cadf6,bus_bus,232.0,3675.0,3443.0
bus333,-1254816452->1292541108|n=14|h=687dbf968c,bus_bus,141.0,3678.0,3537.0
veh1034,521713925->-856175964|n=34|h=f13396dc45,veh_passenger,102.0,3679.0,3577.0
veh4798,-451728952#4->449565665#3|n=32|h=c14da215c7,veh_passenger,468.0,3680.0,3212.0
veh5885,490474063#0->511187808#3|n=35|h=60e9fba494,veh_passenger,1693.0,3681.0,1988.0
veh12365,515130025->-1068144846#0|n=11|h=4cacc356cf,veh_passenger,1205.0,3681.0,2476.0
